timestamp,download_mbps,upload_mbps,ping_ms,server_name,location,isp,external_ip
2026-01-30 16:09:56,409.3,275.2,5.442,Bangkok,Bangkok (Thailand),Chulalongkorn University,202.29.235.61
2026-01-30 16:11:11,367.44,261.23,5.549,Pathumwan,Pathumwan (Thailand),CAT Telecom,61.7.142.7
2026-01-30 16:12:28,331.06,198.24,7.281,Bangkok,Bangkok (Thailand),CAT Telecom,61.7.142.7
2026-01-30 16:13:42,413.75,264.7,5.535,Pathumwan,Pathumwan (Thailand),CAT Telecom,61.7.142.7
2026-01-30 16:14:56,402.35,233.23,5.328,Pathumwan,Pathumwan (Thailand),Chulalongkorn University,202.29.235.61
2026-01-30 16:16:11,387.06,215.08,4.924,Bangkok,Bangkok (Thailand),Chulalongkorn University,202.29.235.61
2026-01-30 16:17:26,379.9,209.1,5.347,Bangkok,Bangkok (Thailand),Chulalongkorn University,202.29.235.61
2026-01-30 16:18:42,364.51,201.08,6.906,Bangkok,Bangkok (Thailand),Chulalongkorn University,202.29.235.61
2026-01-30 16:19:59,122.66,245.21,5.328,Nonthaburi,Nonthaburi (Thailand),CAT Telecom,61.7.142.7
2026-01-30 16:21:13,399.18,206.38,7.783,Nakhon Pathom,Nakhon Pathom (Thailand),Chulalongkorn University,202.29.235.61
2026-01-30 16:22:29,361.63,208.88,7.663,Nakhon Pathom,Nakhon Pathom (Thailand),Chulalongkorn University,202.29.235.61
2026-01-30 16:23:46,335.86,189.56,9.66,Nakhon Pathom,Nakhon Pathom (Thailand),Chulalongkorn University,202.29.235.61
2026-01-30 16:25:02,367.38,220.88,7.186,Bangkok,Bangkok (Thailand),CAT Telecom,61.7.142.7
2026-01-30 16:26:18,327.6,206.7,5.878,Pathumwan,Pathumwan (Thailand),CAT Telecom,61.7.142.7
2026-01-30 16:27:33,377.29,220.12,5.999,Pathumwan,Pathumwan (Thailand),CAT Telecom,61.7.142.7
